"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 07 03:44:27 GMT 2025","Tue Jan 07 03:44:28 GMT 2025","1479","chromium","example.test.ts","","","","get started link",""
"passed","Tue Jan 07 03:44:27 GMT 2025","Tue Jan 07 03:44:28 GMT 2025","844","chromium","example.test.ts","","","","has title",""
