"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 07 03:18:38 GMT 2025","Tue Jan 07 03:18:38 GMT 2025","804","chromium","example.test.ts","","","","has title",""
"passed","Tue Jan 07 03:18:38 GMT 2025","Tue Jan 07 03:18:39 GMT 2025","1165","chromium","example.test.ts","","","","get started link",""
