"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 07 03:41:49 GMT 2025","Tue Jan 07 03:41:50 GMT 2025","1134","chromium","example.test.ts","","","","get started link",""
"passed","Tue Jan 07 03:41:49 GMT 2025","Tue Jan 07 03:41:50 GMT 2025","814","chromium","example.test.ts","","","","has title",""
