"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 10 06:20:45 GMT 2024","Tue Dec 10 06:20:47 GMT 2024","1639","chromium","example.test.ts","","","","get started link",""
"passed","Tue Dec 10 06:20:45 GMT 2024","Tue Dec 10 06:20:46 GMT 2024","1273","chromium","example.test.ts","","","","has title",""
